BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
POINT	SMB	-	LEGADO	-	LEGADO	POINT	others	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7741447	8069880	7711871	7838662	7780101	7478416	7777909	7661546	8217962
POINT	SMB	-	LEGADO	-	LEGADO	POINT	digital_currency	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	SMB	-	LEGADO	-	LEGADO	POINT	debit_card	-	-	TPV	1.757.118.302,00	1.592.060.483,00	1.761.572.776,00	1.581.957.725,00	1.700.549.301,00	1.643.754.688,00	1.661.167.161,00	1.703.841.810,00	1.558.079.200,00	1.590.441.500,00	1.457.354.384,00	1.683.877.102,00	2470502326	2181892301	2287861262	2139654681	2230430076	2131480336	2166524071	2150338376	2066955817	2149732590	2117571066	2271358522
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	1x	1x	TPV	1.186.176.109,00	1.090.733.638,00	1.182.662.496,00	1.073.632.237,00	1.123.434.069,00	1.073.956.012,00	1.112.070.677,00	1.127.120.380,00	1.054.479.672,00	1.081.943.147,00	956.058.677,98	965.531.969,13	1691127455	1518014880	1596695796	1501055015	1564737657	1495320379	1519904989	1508550063	1450053798	1508125080	1485562459	1593450631
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PCJ	2 a 6x	TPV	73.779.159,62	68.359.175,90	68.589.254,00	63.190.312,46	49.793.237,68	59.872.839,68	63.569.943,48	62.824.560,61	59.448.674,76	62.374.458,20	52.526.825,55	54.878.441,88	82290913	72743835	77643736	72708029	75792686	72430255	73621084	73071074	70237635	73050489	71957602	77183484
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PCJ	7 a 12x	TPV	32.456.001,98	29.378.775,08	28.444.525,04	26.832.354,16	20.037.840,57	23.742.465,78	25.996.227,83	24.477.909,58	23.067.427,75	24.617.695,33	19.545.819,72	18.897.163,31	34360388	30960644	32318493	30535856	31831347	30419196	30919319	30688327	29498341	30679681	30220692	32415453
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	2.497,60	72.590,70	1.752.570,09	2.654.489,79	2.865.976,94	1.959.202,19	2.010.060,50	4217926	3632200	4674797	4014125	4184426	3998790	4064534	4034169	3877738	4033032	3972695	4261210
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PSJ	2 a 6x	TPV	515.057.624,98	491.193.582,14	483.641.289,54	471.854.726,52	521.924.093,92	475.150.727,30	496.950.233,83	482.702.494,89	464.119.179,78	469.037.445,95	404.021.062,94	433.786.474,90	953091884	846894335	930491129	856920129	893275184	853646348	867681175	861198891	827804627	860956278	848075761	909666805
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PSJ	7 a 12x	TPV	201.455.203,86	189.205.870,73	184.044.252,21	179.117.823,36	200.807.425,47	180.328.256,24	186.387.710,75	178.180.514,21	175.336.685,14	173.767.593,64	150.763.884,90	144.258.174,06	397159307	342822048	374526476	344004001	358598459	342689767	348323940	345721677	332315807	345624282	340453498	365178749
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PSJ	Maior que 12x	TPV	100	0	0	0	9.586,58	49.693,53	136.726,96	6.089.280,49	6.661.673,56	8.335.049,80	8.175.236,50	7.677.486,78	30898450	25553367	28566424	26073991	27180187	25974378	26401423	26204183	25188077	26196801	25804878	27678944
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PNF	1x	TPV	4.067.342,64	3.738.867,58	3.856.852,58	3.218.272,39	3.656.087,93	3.087.872,74	3.503.336,98	3.134.717,33	2.989.625,26	3.014.118,54	2.644.440,77	2.924.701,16	3114918	3123397	3492053	2959427	3084981	2948121	2996591	2974204	2858875	2973366	2928882	3141591
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PNF	2 a 6x	TPV	5.102.366,83	5.636.025,56	4.999.198,79	5.071.404,38	5.664.031,02	5.226.656,02	5.724.398,13	5.572.996,89	5.041.960,03	5.473.859,46	4.978.224,78	5.248.202,88	5516195	5211838	5616153	5119157	5336339	5099600	5183443	5144718	4945224	5143269	5066322	5434261
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PNF	7 a 12x	TPV	2.025.074,70	1.814.388,65	1.780.457,51	1.785.097,68	1.649.109,27	1.627.773,82	1.684.910,89	1.679.312,90	1.965.608,20	2.025.048,64	1.542.929,48	1.948.134,45	2043157	1703922	1950097	1870919	1950294	1863772	1894414	1880261	1807351	1879731	1851609	1986081
POINT	SMB	-	LEGADO	-	LEGADO	POINT	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	2.000,00	6.510,00	26.885,00	17.543,89	14.940,00	16480	40910	46370	24481	25520	24388	24789	24603	23649	24596	24228	25988
POINT	LONGTAIL	-	AQUISICAO	-	TTP	TTP	account_money	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
