SUM de VALUE_AMOUNT										YEARMONTH_ID																							
BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	VERSION_DESC	DEVICE_TAP_TYPE	CHANNEL_DESC	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	credit_card	2 a 6x	ACTUAL			21.232.696	21.005.456	22.937.548	22.080.259	21.175.476	19.684.078	18.642.165	18.212.489	18.014.376	16.686.921	18.558.348	14.619.950	21.934.294	17.124.225	20.524.971	18.594.639	1.462.728							
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	credit_card	2 a 6x	FORECAST 3+9															21.934.294	17.124.225	20.524.971									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	credit_card	2 a 6x	FORECAST 4+8															21.934.294	17.124.225	20.524.971	18.594.639								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	credit_card	7 a 12x	ACTUAL			4.797.443	4.454.157	4.743.078	4.220.783	4.222.895	3.831.931	4.046.457	4.128.750	3.641.540	3.137.412	3.503.618	2.819.827	5.236.712	5.550.553	5.266.787	4.150.812	225.096							
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	credit_card	7 a 12x	FORECAST 3+9															5.236.712	5.550.553	5.266.787									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	credit_card	7 a 12x	FORECAST 4+8															5.236.712	5.550.553	5.266.787	4.150.812								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	debit_card	-	ACTUAL			2.880	2.437	1.154	1.544	2.648	2.432	1.378	844	5.215	1.035	533	2.135	1.990	1.584	2.398	1.526	30							
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	debit_card	-	FORECAST 3+9															1.990	1.584	2.398									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	debit_card	-	FORECAST 4+8															1.990	1.584	2.398	1.526								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	digital_currency	-	ACTUAL			452.249	391.997	417.890	390.913	372.406	313.665	301.910	289.369	266.606	279.393	274.546	214.019	315.301	232.283	237.442	214.749	17.230							
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	digital_currency	-	FORECAST 3+9															315.301	232.283	237.442									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	digital_currency	-	FORECAST 4+8															315.301	232.283	237.442	214.749								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	prepaid_card	-	ACTUAL																		34.493	7.479							
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	prepaid_card	-	FORECAST 4+8																		34.493								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	ticket	-	ACTUAL			2.949.030	2.530.636	2.245.114	2.489.140	2.459.230	2.324.632	1.927.124	1.769.236	1.800.748	1.729.007	1.344.400	1.392.908	2.262.406	1.994.449	2.502.323	1.645.515	23.340							
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	ticket	-	FORECAST 3+9															2.262.406	1.994.449	2.502.323									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT		LEGADO	ticket	-	FORECAST 4+8															2.262.406	1.994.449	2.502.323	1.645.515								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	account_money	-	FORECAST 3+9		-																800.393	910.461	1.018.260	1.162.496	1.427.680	1.528.022	1.674.007	1.568.336	1.709.515
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	account_money	-	FORECAST 4+8		-																	686.659	793.255	907.116	1.012.287	1.138.983	1.248.419	1.335.371	1.324.645
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	account_money	-	PLANO V5		-													60.038	80.321	146.789	197.712	235.965	258.630	294.858	330.723	341.737	374.996	378.214	385.087
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	bank_transfer	-	FORECAST 3+9		-																22.072.748	25.252.962	28.554.513	32.461.203	40.118.754	42.820.205	46.839.226	44.067.121	47.754.863
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	bank_transfer	-	FORECAST 4+8		-																	29.606.454	34.202.540	39.111.839	43.646.441	49.109.171	53.827.678	57.576.778	57.114.313
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	bank_transfer	-	PLANO V5		-													3.960.252	5.375.101	10.163.822	13.723.697	16.664.014	18.040.391	21.255.950	23.420.391	24.972.462	27.830.204	27.490.412	28.237.260
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	consumer_credits	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	consumer_credits	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	1x	FORECAST 3+9		-																5.549.341	6.403.950	7.354.796	8.317.238	10.374.507	11.035.892	12.030.078	11.380.132	12.214.169
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	1x	FORECAST 4+8		-																	10.869.605	12.556.995	14.359.377	16.024.194	18.029.761	19.762.097	21.138.527	20.968.740
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	1x	PLANO V5		-													1.555.719	2.059.385	4.210.068	5.606.399	6.898.135	7.896.545	9.192.119	10.642.013	11.353.406	12.813.989	13.325.583	13.576.822
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	2 a 6x	FORECAST 3+9		-																4.803.332	5.543.054	6.366.075	7.199.134	8.979.841	9.552.314	10.412.850	9.850.277	10.572.193
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	2 a 6x	FORECAST 4+8		-																	9.404.230	10.864.135	12.423.532	13.863.908	15.599.095	17.097.888	18.288.758	18.141.859
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	2 a 6x	PLANO V5		-													1.275.228	1.909.401	3.597.582	4.607.022	5.660.700	6.691.956	7.251.379	8.848.365	8.819.592	9.659.780	10.609.102	11.308.854
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	7 a 12x	FORECAST 3+9		-																1.347.793	1.555.356	1.786.292	2.020.045	2.519.703	2.680.337	2.921.799	2.763.944	2.966.510
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	7 a 12x	FORECAST 4+8		-																	3.421.896	3.953.108	4.520.522	5.044.628	5.676.007	6.221.370	6.654.688	6.601.237
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	7 a 12x	PLANO V5		-													314.596	467.824	881.529	1.118.062	1.378.123	1.592.177	1.699.960	2.071.469	2.079.021	2.270.335	2.457.024	2.592.160
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	Maior que 12x	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	Maior que 12x	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	credit_card	Maior que 12x	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	debit_card	-	FORECAST 3+9		-																925	1.056	1.190	1.355	1.673	1.787	1.956	1.839	1.994
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	debit_card	-	FORECAST 4+8		-																	1.223	1.413	1.615	1.803	2.028	2.223	2.378	2.359
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	debit_card	-	PLANO V5		-													173	305	393	636	788	821	986	1.120	1.163	1.306	1.335	1.378
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	digital_currency	-	FORECAST 3+9		-																149.866	173.241	199.511	225.480	281.771	299.553	326.141	308.862	330.539
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	digital_currency	-	FORECAST 4+8		-																	190.394	219.951	251.522	280.683	315.813	346.157	370.267	367.293
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	digital_currency	-	PLANO V5		-													36.056	49.716	95.524	126.934	154.951	173.244	199.404	227.584	238.865	265.849	272.385	281.574
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	others	-	FORECAST 4+8		-																	2.627	3.034	3.470	3.872	4.357	4.775	5.108	5.067
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	ticket	-	FORECAST 3+9		-																532.050	612.754	700.292	793.857	987.896	1.052.240	1.147.492	1.083.961	1.164.505
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	ticket	-	FORECAST 4+8		-																	1.140.939	1.318.058	1.507.247	1.681.996	1.892.513	2.074.349	2.218.827	2.201.005
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	AQUISICAO	ticket	-	PLANO V5		-													140.992	184.676	340.016	463.757	553.121	610.222	699.945	788.210	818.987	903.372	915.602	937.115
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	account_money	-	FORECAST 3+9		-																998.939	853.588	783.031	738.771	694.928	662.981	663.540	762.410	651.236
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	account_money	-	FORECAST 4+8		-																	1.399.628	1.261.882	1.168.093	1.089.228	1.028.967	1.020.414	1.219.831	1.002.271
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	account_money	-	PLANO V5		-													1.138.369	1.036.723	1.095.294	1.060.721	1.001.836	949.378	923.642	845.773	810.863	819.831	931.452	802.509
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	bank_transfer	-	FORECAST 3+9		-																46.861.367	40.042.760	36.732.861	34.656.609	32.599.856	31.101.203	31.127.412	35.765.507	30.550.229
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	bank_transfer	-	FORECAST 4+8		-																	60.347.337	54.408.153	50.364.296	46.963.896	44.365.647	43.996.850	52.595.064	43.214.587
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	bank_transfer	-	PLANO V5		-													55.921.991	50.694.934	55.914.716	49.493.264	47.990.196	45.066.168	41.905.996	40.059.587	36.734.861	38.096.072	41.888.989	36.950.560
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	consumer_credits	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	consumer_credits	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	1x	FORECAST 3+9		-																18.155.439	15.513.716	14.231.366	13.426.966	12.630.121	12.049.499	12.059.653	13.856.585	11.836.036
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	1x	FORECAST 4+8		-																	21.521.311	19.403.255	17.961.119	16.748.454	15.821.856	15.690.334	18.756.664	15.411.360
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	1x	PLANO V5		-													23.994.334	23.085.446	24.903.294	23.897.174	24.106.163	21.747.130	20.725.769	19.753.561	18.751.987	19.019.340	21.853.087	18.856.015
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	2 a 6x	FORECAST 3+9		-																18.521.984	15.826.926	14.518.686	13.698.046	12.885.113	12.292.770	12.303.129	14.136.339	12.074.997
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	2 a 6x	FORECAST 4+8		-																	21.275.624	19.181.748	17.756.075	16.557.255	15.641.235	15.511.214	18.542.539	15.235.426
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	2 a 6x	PLANO V5		-													23.571.963	23.074.124	24.992.408	23.711.139	22.896.168	21.066.457	20.070.505	19.169.223	19.626.874	18.999.384	23.516.994	19.739.052
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	7 a 12x	FORECAST 3+9		-																4.327.016	3.697.410	3.391.785	3.200.071	3.010.158	2.871.777	2.874.197	3.302.463	2.820.902
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	7 a 12x	FORECAST 4+8		-																	5.502.473	4.960.939	4.592.219	4.282.171	4.045.262	4.011.635	4.795.622	3.940.308
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	7 a 12x	PLANO V5		-													5.686.854	5.314.851	5.764.763	5.357.243	5.003.230	4.792.301	4.920.857	4.388.009	4.484.551	4.392.341	5.280.050	4.390.459
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	Maior que 12x	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	Maior que 12x	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	credit_card	Maior que 12x	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	debit_card	-	FORECAST 3+9		-																2.186	1.868	1.714	1.617	1.521	1.451	1.452	1.669	1.425
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	debit_card	-	FORECAST 4+8		-																	2.492	2.247	2.080	1.940	1.832	1.817	2.172	1.785
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	debit_card	-	PLANO V5		-													2.425	2.038	909	1.276	2.185	2.266	1.304	1.697	1.580	1.478	1.805	1.537
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	digital_currency	-	FORECAST 3+9		-																263.516	225.173	206.561	194.885	183.319	174.892	175.039	201.121	171.794
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	digital_currency	-	FORECAST 4+8		-																	388.084	349.890	323.884	302.017	285.308	282.936	338.230	277.906
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	digital_currency	-	PLANO V5		-													549.683	475.415	505.253	482.052	456.591	390.569	366.412	359.480	336.519	341.230	393.981	338.878
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	others	-	FORECAST 4+8		-																	5.354	4.827	4.468	4.167	3.936	3.903	4.666	3.834
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	ticket	-	FORECAST 3+9		-																25.889.599	22.122.509	20.293.882	19.146.811	18.010.512	17.182.547	17.197.027	19.759.445	16.878.150
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	ticket	-	FORECAST 4+8		-																	2.325.596	2.096.719	1.940.881	1.809.840	1.709.712	1.695.500	2.026.848	1.665.354
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	-	LEGADO	ticket	-	PLANO V5		-													2.425.406	2.071.290	1.847.778	2.027.033	2.000.420	1.900.505	1.578.894	1.460.875	1.335.691	1.375.377	1.552.703	1.321.836
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		bank_transfer	-	ACTUAL															6.586	10.809	16.893	23.513								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		bank_transfer	-	FORECAST 3+9															6.586	10.809	16.893									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		bank_transfer	-	FORECAST 4+8															6.586	10.809	16.893	23.513								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	1x	ACTUAL															2.025	2.031	2.932	5.209								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	1x	FORECAST 3+9															2.025	2.031	2.932									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	1x	FORECAST 4+8															2.025	2.031	2.932	5.209								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	2 a 6x	ACTUAL															25.849	22.166	29.595	54.924								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	2 a 6x	FORECAST 3+9															25.849	22.166	29.595									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	2 a 6x	FORECAST 4+8															25.849	22.166	29.595	54.924								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	7 a 12x	ACTUAL																1.590	2.528	19.657								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	7 a 12x	FORECAST 3+9																1.590	2.528									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		credit_card	7 a 12x	FORECAST 4+8																1.590	2.528	19.657								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		prepaid_card	-	ACTUAL																		74								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming		prepaid_card	-	FORECAST 4+8																		74								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming	AQUISICAO	bank_transfer	-	ACTUAL																		52								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming	AQUISICAO	bank_transfer	-	FORECAST 4+8																		52								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming	LEGADO	bank_transfer	-	ACTUAL												1.999														
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming	LEGADO	credit_card	2 a 6x	ACTUAL					610																					
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Farming	LEGADO	ticket	-	ACTUAL												864														
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	AQUISICAO	bank_transfer	-	ACTUAL						40					10.256															
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	AQUISICAO	credit_card	1x	ACTUAL											6.911															
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	AQUISICAO	credit_card	2 a 6x	ACTUAL						490					1.297															
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	LEGADO	bank_transfer	-	ACTUAL																	25.916									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	LEGADO	bank_transfer	-	FORECAST 3+9																	25.916									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	LEGADO	bank_transfer	-	FORECAST 4+8																	25.916									
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	LEGADO	credit_card	1x	ACTUAL																		2								
ONLINE PAYMENTS	LONGTAIL	CHECKOUT	BS Hunting	LEGADO	credit_card	1x	FORECAST 4+8																		2								
ONLINE PAYMENTS	LONGTAIL	LINK			credit_card	1x	ACTUAL																			405							
ONLINE PAYMENTS	LONGTAIL	LINK			credit_card	2 a 6x	ACTUAL																			637							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	account_money	-	ACTUAL			412.884	426.223	485.285	662.381	1.030.740	872.598	861.112	974.023	904.186	988.921	896.707	1.049.402	403.099	521.030	611.362	771.574	66.266							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	account_money	-	FORECAST 3+9															403.099	521.030	611.362									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	account_money	-	FORECAST 4+8															403.099	521.030	611.362	771.574								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	bank_transfer	-	ACTUAL			1.731.181	2.260.329	2.961.047	3.102.774	3.657.515	3.725.356	4.192.373	4.090.070	4.212.899	4.441.478	4.779.405	4.796.568	1.561.589	1.867.043	2.673.354	3.179.722	218.421							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	bank_transfer	-	FORECAST 3+9															1.561.589	1.867.043	2.673.354									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	bank_transfer	-	FORECAST 4+8															1.561.589	1.867.043	2.673.354	3.179.722								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	1x	ACTUAL			25.357.404	37.514.981	44.811.288	54.970.423	64.361.198	71.015.582	83.569.036	93.102.181	102.631.795	115.170.701	118.381.801	123.525.345	33.273.963	40.418.838	54.650.259	61.754.316	3.822.816							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	1x	FORECAST 3+9															33.273.963	40.418.838	54.650.259									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	1x	FORECAST 4+8															33.273.963	40.418.838	54.650.259	61.754.316								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	2 a 6x	ACTUAL			47.095.567	68.898.429	73.561.217	90.906.511	104.254.399	112.524.801	132.300.282	146.314.301	162.582.356	184.824.506	190.521.894	197.290.884	61.294.982	70.268.903	94.114.225	102.799.145	5.610.379							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	2 a 6x	FORECAST 3+9															61.294.982	70.268.903	94.114.225									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	2 a 6x	FORECAST 4+8															61.294.982	70.268.903	94.114.225	102.799.145								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	7 a 12x	ACTUAL			26.179.545	36.040.832	37.876.570	46.268.716	50.160.218	54.405.229	63.592.262	71.614.314	77.250.024	89.661.990	92.299.911	96.587.852	37.364.441	40.709.505	51.911.341	52.889.787	3.278.244							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	7 a 12x	FORECAST 3+9															37.364.441	40.709.505	51.911.341									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	credit_card	7 a 12x	FORECAST 4+8															37.364.441	40.709.505	51.911.341	52.889.787								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	debit_card	-	ACTUAL			17.442	26.745	34.290	40.892	55.963	96.327	83.543	111.584	95.596	12.641	16.954	12.337	3.005	9.494	12.345	22.316	424							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	debit_card	-	FORECAST 3+9															3.005	9.494	12.345									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	debit_card	-	FORECAST 4+8															3.005	9.494	12.345	22.316								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	digital_currency	-	ACTUAL			5.632.080	5.916.641	8.783.500	9.496.715	11.057.934	9.298.580	8.507.061	6.766.858	6.351.770	6.057.157	5.396.579	4.593.895	1.863.170	1.617.811	2.188.057	2.476.619	182.022							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	digital_currency	-	FORECAST 3+9															1.863.170	1.617.811	2.188.057									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	digital_currency	-	FORECAST 4+8															1.863.170	1.617.811	2.188.057	2.476.619								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	prepaid_card	-	ACTUAL																	1.197	460.850	72.274							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	prepaid_card	-	FORECAST 3+9																	1.197									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	prepaid_card	-	FORECAST 4+8																	1.197	460.850								
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	ticket	-	ACTUAL			1.291.274	1.643.804	1.779.383	2.225.691	2.154.860	2.440.411	2.341.813	2.039.175	1.681.989	1.473.242	1.234.139	1.364.682	477.514	656.944	928.732	1.241.316	15.066							
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	ticket	-	FORECAST 3+9															477.514	656.944	928.732									
ONLINE PAYMENTS	LONGTAIL	LINK		AQUISICAO	ticket	-	FORECAST 4+8															477.514	656.944	928.732	1.241.316								
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	account_money	-	ACTUAL			1.618.029	1.575.390	1.566.314	1.708.312	1.581.057	1.289.184	1.385.227	1.234.986	1.146.543	1.135.837	1.072.503	1.075.696	1.593.755	1.948.393	2.153.326	1.907.222	115.041							
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	account_money	-	FORECAST 3+9															1.593.755	1.948.393	2.153.326									
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	account_money	-	FORECAST 4+8															1.593.755	1.948.393	2.153.326	1.907.222								
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	bank_transfer	-	ACTUAL			8.371.813	8.100.874	8.351.028	7.579.826	7.776.563	6.674.174	6.437.201	5.489.958	5.245.263	5.276.463	5.333.363	4.914.647	7.879.794	7.365.154	7.841.539	6.859.227	412.025							
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	bank_transfer	-	FORECAST 3+9															7.879.794	7.365.154	7.841.539									
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	bank_transfer	-	FORECAST 4+8															7.879.794	7.365.154	7.841.539	6.859.227								
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	1x	ACTUAL			182.214.518	185.969.724	185.311.479	183.140.355	180.439.163	164.918.695	169.173.663	163.507.814	159.007.616	156.043.454	147.265.728	132.927.598	202.338.340	178.884.568	199.458.048	185.844.337	8.849.799							
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	1x	FORECAST 3+9															202.338.340	178.884.568	199.458.048									
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	1x	FORECAST 4+8															202.338.340	178.884.568	199.458.048	185.844.337								
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	2 a 6x	ACTUAL			302.596.372	302.645.479	296.159.265	295.586.724	288.863.669	262.932.835	264.409.012	248.265.104	245.013.630	242.566.465	219.416.152	200.567.106	328.465.676	290.833.095	331.142.887	304.178.423	13.215.031							
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	2 a 6x	FORECAST 3+9															328.465.676	290.833.095	331.142.887									
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	2 a 6x	FORECAST 4+8															328.465.676	290.833.095	331.142.887	304.178.423								
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	7 a 12x	ACTUAL			126.398.524	126.056.220	121.193.418	118.337.376	114.282.946	103.617.463	107.200.649	100.533.461	100.715.223	99.225.821	91.714.831	83.979.144	152.724.152	135.828.282	150.030.244	131.632.047	5.756.597							
ONLINE PAYMENTS	LONGTAIL	LINK		LEGADO	credit_card	7 a 12x	FORECAST 3+9															152.724.152	135.828.282	150.030.244									
