SUM de VALUE_AMOUNT										YEARMONTH_ID																							
BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	VERSION_DESC	DEVICE_TAP_TYPE	CHANNEL_DESC	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	others	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	ticket	-	FORECAST 3+9		-																54.344.398	57.051.399	55.963.502	57.587.176	56.791.586	55.830.106	65.596.022	83.934.807	63.899.192
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	ticket	-	FORECAST 4+8		-																	878.698.476	834.747.200	835.522.346	834.368.121	833.676.823	842.540.479	860.229.614	840.376.438
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	ticket	-	PLANO V5		-													55.145.217	51.939.591	56.116.223	53.772.333	56.383.300	55.469.140	57.327.646	56.469.863	55.508.251	64.962.843	85.084.915	60.262.847
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	account_money	-	FORECAST 3+9		-																2.083.928	2.990.366	6.812.674	10.386.484	13.376.617	14.432.790	14.863.012	16.658.006	15.332.728
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	account_money	-	FORECAST 4+8		-																	1.917.396	3.016.837	4.761.871	7.389.455	11.215.182	15.460.278	17.855.194	18.867.070
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	account_money	-	PLANO V5		-													978.485	2.429.422	4.778.290	7.706.063	9.641.224	11.231.908	12.915.132	13.349.812	14.404.211	14.830.138	16.624.516	15.283.595
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	bank_transfer	-	FORECAST 3+9		-																75.763.327	95.751.450	132.908.242	168.335.185	203.062.663	226.446.539	260.462.646	279.205.930	344.983.685
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	bank_transfer	-	FORECAST 4+8		-																	82.755.083	103.609.955	128.751.877	160.352.606	197.492.223	249.614.754	266.586.863	346.505.232
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	bank_transfer	-	PLANO V5		-													17.752.304	36.251.967	63.691.880	93.657.722	112.524.014	142.822.542	166.913.123	185.944.193	208.203.395	239.430.437	259.076.868	311.715.191
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	consumer_credits	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	FORECAST 3+9		-																20.663.096	29.130.788	45.502.790	64.422.147	81.574.600	88.948.697	93.960.077	113.026.479	95.449.708
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	FORECAST 4+8		-																	22.559.822	26.958.416	37.362.879	52.593.721	72.460.608	94.635.406	116.601.857	106.537.806
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	1x	PLANO V5		-													9.753.018	20.300.064	38.595.147	58.160.589	77.311.257	82.863.262	96.635.801	106.510.584	117.557.647	127.039.399	153.713.439	133.939.796
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	FORECAST 3+9		-																68.588.241	89.457.140	135.893.776	178.949.668	218.234.897	241.646.221	273.729.389	356.961.533	287.933.154
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	FORECAST 4+8		-																	73.950.979	96.902.458	124.420.302	159.831.829	205.352.907	267.030.828	352.016.290	295.605.747
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	2 a 6x	PLANO V5		-													18.763.649	40.464.337	72.103.282	108.593.821	139.914.268	166.153.542	193.260.082	210.727.995	234.148.328	265.322.990	350.066.232	273.650.369
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	FORECAST 3+9		-																49.381.835	64.461.899	96.237.684	125.591.561	152.728.647	169.515.791	192.999.886	252.632.660	204.406.815
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	FORECAST 4+8		-																	53.689.283	70.008.966	89.128.233	113.605.958	144.819.788	187.569.243	247.976.246	207.835.155
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	7 a 12x	PLANO V5		-													13.349.539	28.204.183	49.695.720	74.553.690	96.639.985	114.767.243	133.543.773	146.168.173	162.811.116	185.367.472	245.670.258	192.169.486
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	Maior que 12x	FORECAST 3+9		-																957.643	1.174.441	1.475.183	1.735.006	2.001.930	2.273.562	2.819.030	3.933.067	3.231.055
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	Maior que 12x	FORECAST 4+8		-																	1.059.307	1.339.576	1.591.801	1.842.164	2.095.905	2.599.158	3.627.435	2.888.026
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	credit_card	Maior que 12x	PLANO V5		-													139.281	243.241	398.569	556.820	700.346	907.155	1.080.022	1.251.881	1.434.329	1.789.515	2.563.223	1.989.103
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	debit_card	-	FORECAST 3+9		-																2.032	2.570	3.101	3.649	4.275	4.840	5.833	7.450	7.040
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	debit_card	-	FORECAST 4+8		-																	2.305	2.762	3.267	3.852	4.427	5.408	6.912	6.379
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	debit_card	-	PLANO V5		-													389	773	1.253	1.740	2.246	2.745	3.226	3.749	4.280	5.187	6.793	6.076
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	digital_currency	-	FORECAST 3+9		-																69.029	92.272	150.528	206.851	257.105	282.491	308.866	365.684	340.438
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	digital_currency	-	FORECAST 4+8		-																	73.285	96.051	128.830	173.795	233.706	307.239	369.110	370.278
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	digital_currency	-	PLANO V5		-													20.739	46.500	86.453	132.219	167.804	198.061	229.261	245.571	270.200	294.710	351.266	319.293
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	others	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS HUNTING	-	ticket	-	FORECAST 3+9		-																2.772.638	3.525.899	4.193.475	4.941.144	5.784.693	6.553.202	7.902.512	10.116.837	9.561.685
